topic,rank,term,weight
10,16,fibrillation,0.5806776208052679
10,17,chronic renal,0.4520010970406834
10,18,renal,0.45165337585160564
10,19,acute,0.3921697153284385
10,20,failure atrial,0.3643208757607535
11,1,ICD_96509,3.9887774494400206
11,2,respiratory,0.6880353009324115
11,3,respiratory distress,0.6707140888926253
11,4,palate,0.5945127073328778
11,5,labor,0.5284245992358956
11,6,distress,0.5064576142947294
11,7,breast,0.4321676752369725
11,8,milk,0.40986489544344845
11,9,breast milk,0.40841136816299567
11,10,preterm,0.3645733239285644
11,11,preterm labor,0.36281993253102063
11,12,sepsis,0.33641042454681763
11,13,hyperbilirubinemia,0.30387962526901474
11,14,disease chronic,0.301419761689525
11,15,sepsis hyperbilirubinemia,0.2667175727943987
11,16,chronic lung,0.2630803552408597
11,17,lung disease,0.2599130597771017
11,18,lung,0.25516844832442975
11,19,apnea bradycardia,0.23901051728834463
11,20,chronic,0.23705352380737263
12,1,pleural,2.380472458046883
12,2,effusions,1.9201656801047178
12,3,pleural effusions,1.887424665465158
12,4,pleural effusion,1.193097628795634
12,5,left,0.5258186051501381
12,6,edema pleural,0.4509681369224406
12,7,effusion,0.4288597024656274
12,8,atelectasis pleural,0.4001088116047919
12,9,bibasilar,0.3961923631450954
12,10,left pleural,0.38436623102898243
12,11,aortic,0.36458389164910865
12,12,lobe,0.35101147399735916
12,13,opacities,0.35014085447583854
12,14,lower lobe,0.32362020476357223
12,15,edema,0.3155174880450435
12,16,cardiomegaly,0.3090083878929351
12,17,effusions atelectasis,0.3045309804484125
12,18,effusion pleural,0.2971500538429668
12,19,effusion atelectasis,0.2965563573339124
12,20,opacity,0.2903291183659173
13,1,hemorrhage,1.5190256619656837
13,2,ICD_82021,1.4897067903028784
13,3,left,1.2876156574893451
13,4,right,0.677212503939021
13,5,hematoma,0.5864908927977477
13,6,ICD_53240,0.5350155674131292
13,7,weakness,0.4799491423602456
13,8,stroke,0.4597069554261606
13,9,hemorrhage hemorrhage,0.444130182771275
13,10,sided,0.4405364640237872
13,11,subarachnoid,0.4262367476909689
13,12,ii,0.40618530439577216
13,13,subarachnoid hemorrhage,0.39910463511043726
13,14,loss,0.3906280515885591
13,15,cranial,0.38502885570352074
13,16,movements,0.37084030568253945
13,17,nerves,0.37004487954845566
13,18,cranial nerves,0.36575960760553905
13,19,left sided,0.3651497958769535
13,20,nerves ii,0.3629654306600084
14,1,ICD_86509,3.1769193982302926
14,2,respiratory,0.9807581138167705
14,3,respiratory distress,0.9498769448086002
14,4,labor,0.8828740038168228
14,5,preterm,0.8320575923461511
14,6,preterm labor,0.8195743654502703
14,7,distress,0.7186270004810331
14,8,syndrome,0.5280507823028866
14,9,distress syndrome,0.48787534907810076
14,10,disease respiratory,0.4410554514605727
14,11,palate,0.43165603460712576
14,12,prematurity,0.42130257618805256
14,13,apnea bradycardia,0.41128189672128873
14,14,milk,0.35030144823061926
14,15,breast,0.34830925291756604
14,16,breast milk,0.3388576766589236
14,17,hyperbilirubinemia,0.30876318756011206
14,18,sepsis,0.2847589209408682
14,19,apnea,0.2818845091297622
14,20,weight,0.2761443258499598
