umap_x,umap_y
7.4502435,-6.661297
11.771622,8.778553
5.995723,19.601494
2.4945834,4.934943
11.706492,7.1250305
5.3940825,5.335183
8.660324,2.1930203
21.774925,1.0212108
7.1700935,-0.55639696
6.3730435,0.7784856
7.2907934,11.298647
17.019382,4.0387187
7.2173934,-0.5022229
8.425324,1.0869186
8.700969,6.7492485
8.616272,3.4193196
5.9646916,3.4039981
11.971292,7.2325473
7.4596677,0.6741175
7.7359962,12.444262
5.944518,-0.7116344
10.08631,2.803329
4.288697,-1.2801197
9.5502205,4.365659
9.421857,7.6927896
10.9150305,8.579456
8.22992,1.7179798
10.615694,7.962804
6.169983,-7.935172
7.735459,5.0038037
-6.1491537,4.4838953
5.628842,4.9532084
10.490516,8.55607
6.196794,20.94515
17.482508,3.9855793
7.520535,6.269693
7.118713,4.0345187
6.2919064,6.020939
5.2356496,4.673075
4.495741,4.1573787
4.400326,4.93585
8.35351,3.3321872
7.3171716,7.6691365
13.532918,3.0497923
5.8025613,3.4202862
6.5624185,-0.35506362
8.436161,1.7448715
11.925022,7.4024057
9.079429,2.0602777
7.812366,3.0628965
18.267418,5.780259
6.0765533,6.53572
7.729805,4.4473295
4.7679086,6.9472218
9.098827,2.3543344
-5.6727242,5.2151585
3.6716418,-1.3297613
6.255765,0.42220184
4.2396135,6.3139005
8.12447,-7.181743
8.921969,4.487731
8.546416,7.9349737
6.24593,7.3063865
6.8750834,3.5335248
7.8324084,-8.0035
7.045861,6.7386312
11.865905,8.642929
7.771469,12.63273
8.121732,3.050728
8.110744,9.667909
5.883642,7.6445546
7.927817,3.0366452
8.319021,2.1481848
6.745942,-7.327231
4.4454656,7.660676
9.449511,8.194829
6.1927643,-1.2159122
7.226494,6.945633
8.749461,5.866718
8.474075,10.382434
-0.22301298,-4.226569
7.7465243,4.8769317
5.1985936,3.5114625
8.844638,3.6757903
8.934111,7.0441628
8.5418215,2.198055
-5.74787,4.463226
5.415363,4.979166
9.482942,4.314817
8.422313,10.618689
9.406675,4.197377
4.137464,6.2867327
5.964022,10.253002
4.8853984,4.2690325
7.6664867,4.4236817
4.885664,7.5551267
7.3623104,-6.946399
8.149521,9.714747
18.143797,4.119376
7.954422,-8.7418375
10.019948,8.46297
7.4020624,6.967902
6.1222844,-7.9481955
6.0087714,6.3074546
7.110273,7.5249276
6.4707823,19.690931
8.336678,-8.082306
6.1707263,-7.9437127
22.856392,2.6673534
7.7741704,10.429589
7.775275,7.0960903
7.6513166,5.455001
6.7481155,11.701769
7.133604,2.3024418
7.345777,6.22057
10.946972,9.125769
9.077682,4.443195
7.865864,0.5578537
5.639393,8.312113
8.50076,6.0434904
4.83852,7.071348
6.4051003,9.898938
22.33487,2.6182883
5.9352536,10.89101
4.3393607,-0.22260968
8.281279,7.068293
7.7090526,12.13252
5.6942334,20.01708
7.537974,11.574196
4.446651,19.67595
7.7376537,5.5802336
9.773154,8.9064045
8.443228,4.8622727
10.906554,7.7217445
9.472392,8.076578
11.204857,8.517339
10.7134695,7.743615
11.852074,8.167147
8.189087,-8.713968
10.703231,8.5675125
7.248949,-6.695029
5.1421123,2.8000524
5.3299704,8.114755
4.677312,7.7132883
9.609668,9.978879
10.992668,8.480717
7.1804633,3.5150976
7.267581,11.28169
8.794577,6.9595685
10.414003,9.585276
5.078027,7.36788
7.385438,3.5009134
6.176186,20.898792
13.29643,3.0858605
6.4235344,-0.9242742
6.5927925,4.2121034
10.164321,8.74992
-6.77919,5.017545
-5.9286485,5.0791564
8.204472,7.101549
5.7444777,8.151857
9.682733,3.1751795
9.683253,9.520825
5.7974167,5.2841063
8.149722,4.33785
-6.6995296,4.972337
6.026097,-7.9312015
6.0363746,8.831079
11.633092,7.4227777
8.819647,-8.369599
5.499462,3.5583222
10.140629,3.1533058
11.822366,7.9685917
9.203669,7.6413527
7.3114824,11.054979
8.778883,3.1662135
12.166804,7.5480065
4.198604,19.614239
9.595429,8.148975
7.2652264,2.425133
4.5142198,7.808516
4.4792995,8.181923
7.5549626,10.391245
10.150504,7.7295537
7.0129995,10.778321
23.48658,2.2181127
9.157977,4.123211
6.4296327,10.135733
4.708056,-1.2756345
6.2886457,20.906303
11.345152,9.529837
5.057541,-1.1128235
-6.60345,4.929099
3.4113863,4.194371
6.1461368,10.633801
7.17123,6.2040834
-6.1417956,5.1236916
6.7878838,-0.43119186
4.46127,19.404358
4.91444,3.4169633
9.408833,8.657918
9.607095,4.2908497
3.998176,3.9599414
5.0766973,-1.1414198
11.421728,9.6721525
8.934606,6.869171
6.2874618,20.853676
5.16723,3.8298087
12.130793,7.535873
4.4521317,3.8708496
5.7949576,-1.0267732
8.454421,10.084714
7.15368,-7.9149837
8.398064,4.4858694
7.3606596,5.6950026
7.5309644,11.508888
7.7795086,-7.9904037
6.5009546,19.726173
10.337819,9.409852
6.0596294,0.24017522
9.691867,3.5598123
8.356748,8.527897
5.055274,-1.3324406
5.0654874,2.8592923
8.104494,3.1660247
8.951825,5.9575653
7.4184337,1.8559266
7.8506427,12.057628
8.176287,10.564914
10.964786,7.319572
7.4957023,6.3246427
21.814074,1.0770297
9.699525,8.399154
6.973837,2.4964032
7.0797377,0.14340258
6.531347,7.7610445
7.4064507,-6.7305017
7.704669,11.903186
8.281073,7.1507745
8.8951845,5.452827
22.563972,2.0216117
9.547258,9.6369505
6.684654,6.81503
5.742158,19.721466
8.174959,10.354119
7.5963907,6.449005
8.222661,4.0455637
6.505027,19.849478
7.829569,3.121459
-6.227553,4.8937926
9.199396,9.532673
6.1198707,-0.8134803
6.1849275,4.3410807
7.299113,7.519036
4.290269,-0.24127382
6.2069516,4.869233
8.347214,10.156276
5.5251355,4.6156645
5.18193,7.292554
5.746244,11.019117
8.156152,4.6364665
4.397971,-0.3985966
7.556188,0.0198422
-6.1145763,5.4509745
-0.075838216,-4.0849433
7.213149,3.923349
5.036111,2.997272
5.2748623,3.5805843
3.8129323,5.622396
6.219051,4.767557
23.392029,2.3227577
7.178343,-6.9017806
8.471565,2.0230756
10.826691,7.0849867
5.1943874,2.9434562
7.9116015,6.56117
6.4378242,-0.20693
6.3171654,20.873571
7.867033,-8.039179
9.305611,2.2800052
6.5328393,19.813898
8.614714,7.3134904
6.6094995,6.703715
5.7359767,5.050862
6.3263626,19.495714
8.049748,7.003058
8.599387,1.8735143
10.91716,7.592649
10.037698,3.7344668
10.956255,8.040831
7.4658475,0.9909886
4.2169485,19.609411
6.74963,6.8934684
7.76978,2.8671737
4.2329917,3.7674854
7.1190715,7.685737
4.3091645,-0.40152204
11.143515,8.620299
5.9173484,19.589796
5.5863504,-1.294059
4.2946806,8.422552
6.6194263,10.648023
9.794018,2.8195522
12.452346,3.2778625
5.7469788,3.895454
8.769279,4.146997
7.323266,0.34257355
9.186399,2.6904178
5.721765,2.5059068
7.5198474,10.542205
-0.114391185,-4.1215324
5.7404923,2.7260106
6.0328684,-7.9613056
4.4344964,4.274743
4.790039,7.6290717
10.065835,8.195917
8.822933,7.1328187
5.4930243,6.8965907
9.818566,8.422084
11.098714,8.378084
5.336331,-1.3469481
6.2551007,12.2152
8.359263,10.514778
7.3284335,6.715877
8.420515,7.3047724
8.920128,3.3773053
8.840296,5.197498
4.154435,8.167504
7.667281,5.848759
9.731859,8.069778
4.8097825,7.04138
7.7707524,0.14405404
8.2873125,3.7313502
9.768654,3.8143926
5.40197,-1.3338192
5.3536143,3.2138782
3.1076481,4.9592557
3.3531826,5.69954
3.877233,7.7623444
17.846855,4.500157
9.800838,8.548631
7.4344397,2.6935747
6.7206674,3.3337626
